Artist;Title;Link
Taylor Swift; Blank Space; https://www.youtube.com/watch?v=e-ORhEE9VVg
Taylor Swift; Style; https://www.youtube.com/watch?v=-CmadmM5cOk
Beck; Loser; https://www.youtube.com/watch?v=YgSPaXgAdzE
Beyonce; Single Ladies; https://www.youtube.com/watch?v=4m1EFMoRFvY
One Direction; Best Song Ever;https://www.youtube.com/watch?v=tz8nbL6iKT4
Green Day; Know your enemy;https://www.youtube.com/watch?v=GrCDdm2yjXY
Miley Cyrus; We Cant Stop;https://www.youtube.com/watch?v=Km3wOjaRyE4
Jessie J; Price Tag; https://www.youtube.com/watch?v=IjuYS3FYrA0
Queen; Fat bottomed Girls;https://www.youtube.com/watch?v=OUwauaE0zEE
Beatles; Come Together; https://www.youtube.com/watch?v=RMdD8MwUQpw
Metallica; Sad but true;https://www.youtube.com/watch?v=8xPaeONSn_8
Stevie Wonder; Superstition; https://www.youtube.com/watch?v=N7kvabf8Oy8
Taylor Swift; Blank Space; https://www.youtube.com/watch?v=e-ORhEE9VVg
Imagine Dragons; Stand by me; https://www.youtube.com/watch?v=kViDD_zJv0k
Sinead O'Connor; Nothing Compares to you;https://www.youtube.com/watch?v=auUPqxI1vqg
Miley Cyrus; Wrecking Ball; https://www.youtube.com/watch?v=My2FRPA3Gf8
Red Hot chillie peppers; Can't stop; https://www.youtube.com/watch?v=BfOdWSiyWoc
Taylor Swift; Shake it off; https://www.youtube.com/watch?v=zIOVMHMNfJ4
30 Seconds to mars; From yesterday; https://www.youtube.com/watch?v=o3fgaYqUUmg
Katy Perry; Roar; https://www.youtube.com/watch?v=n2f501YWxso
Blink 182; Whats my age again; https://www.youtube.com/watch?v=K7l5ZeVVoCA
Miley Cyrus; Wrecking Ball; https://www.youtube.com/watch?v=My2FRPA3Gf8
Bruno Mars; Just the way you are; https://www.youtube.com/watch?v=KbtCXe-voyQ
One Direction; Little Things; https://www.youtube.com/watch?v=6wBzR7zhA0g