Mariah Carey;You're Mine;https://www.youtube.com/watch?v=9goSZU9UB8g
Johnny Gill; My, My, My;https://www.youtube.com/watch?v=btFcIkFoT1k
Offsrping;Come Out And Play;https://www.youtube.com/watch?v=WWH85xlhZbI
Marilyn Manson;The Beautiful People;https://www.youtube.com/watch?v=scg4tGpBXKc
Led Zeppelin;Whole Lotta Love;https://www.youtube.com/watch?v=Qkzel7TCZ0M
The Beatles;Helter Skelter;https://www.youtube.com/watch?v=UXOkzEXJuDs
James Brown;Sexmachine;https://www.youtube.com/watch?v=8mjQ1i5V7qA
Led Zeppelin;Whole Lotta Love;https://www.youtube.com/watch?v=Qkzel7TCZ0M
Will Smith;Switch;https://www.youtube.com/watch?v=AwQI7PEY0gw
Bee Gees;Stayin Alive;https://www.youtube.com/watch?v=_Vj092UgKwQ
Jimmy Ruffin;What Becomes of the Brokenhearted;https://www.youtube.com/watch?v=cQywZYoGB1g
Snow Patrol;Chasing Cars;https://www.youtube.com/watch?v=XaKr98ktoxU
De La Soul;Ring Ring Ring (Ha Ha Hey);https://www.youtube.com/watch?v=gC1xuVCBl4o
Kasabian;Processed Beats;https://www.youtube.com/watch?v=wE1NGrOGwT8
Jay-Z;99 Problems;https://www.youtube.com/watch?v=j1ZObiu6kRU
The Charlatans;Stir it Up;https://www.youtube.com/watch?v=CiQAdFkwX6s
Sisters of Mercy;Dominion;https://www.youtube.com/watch?v=AeFC-rfQkVk
Sweet Light;Abusator;https://www.youtube.com/watch?v=29GS9qaSomQ
30 Seconds To Mars;Kings and Queens;https://www.youtube.com/watch?v=3j73g8JMHOA
James Blunt;You're Beautiful;https://www.youtube.com/watch?v=oofSnsGkops
The Do;On My Shoulders;https://www.youtube.com/watch?v=HOs1NDsitmk
Bjork;Violently Happy;https://www.youtube.com/watch?v=hs1sIgPzOT0
The Stranglers;No Mercy;https://www.youtube.com/watch?v=7GndSz_0fB8
Far East Movement;Like a G6;https://www.youtube.com/watch?v=VYaygLi1Qd0
Avicii;Wake Me Up;https://www.youtube.com/watch?v=5y_KJAg8bHI
Rick Astley;Never Gonna Give You Up;https://www.youtube.com/watch?v=dQw4w9WgXcQ
The Smashing Pumpkins;Bullet with Butterfly Wings;https://www.youtube.com/watch?v=8-r-V0uK4u0
David Guetta ft. Sam Martin;Lovers On The Sun;https://www.youtube.com/watch?v=EpbjEttizy8
The Cure;Lullaby;https://www.youtube.com/watch?v=0HTFdCfK46A
Korn;Coming Undone;https://www.youtube.com/watch?v=CSJXle3LP_Q
Katy Perry;Firework;https://www.youtube.com/watch?v=6BtI43kqkOI
Disclosure ft. Sam Smith;Latch On;https://www.youtube.com/watch?v=93ASUImTedo
M83;Midnight City;https://www.youtube.com/watch?v=2v5d3WHVQFY
Peter Gabriel;In Your Eyes;https://www.youtube.com/watch?v=2v5d3WHVQFY
Beyonce ft. Jay-Z;Crazy In Love;https://www.youtube.com/watch?v=EsLfIyyTlRc
Bush;Machinehead;https://www.youtube.com/watch?v=IEEroKKsVHk
Anrew W.K.;Party Hard;https://www.youtube.com/watch?v=RQ9xveRsWxo
Beastie Boys;Fight For Your Right;https://www.youtube.com/watch?v=DGRemW4bEgs
Jet;Are You Gonna Be My Girl;https://www.youtube.com/watch?v=iptmRfE1RBQ
Girls Aloud;Love Machine;https://www.youtube.com/watch?v=GsmTfbK8kyI
Christina Aguilera;Ain't No Other Man Lyrics;https://www.youtube.com/watch?v=OstHzcY7DPE
Repulica;Ready To Go;https://www.youtube.com/watch?v=bSvUxVeEOb8
AC/DC;Hells Bells;https://www.youtube.com/watch?v=2tXztXYaMao
Beastie Boys;No Sleep 'til Brooklyn;https://www.youtube.com/watch?v=1cMVkwtLfMM
Depeche Mode;Only When I Lose Myself;https://www.youtube.com/watch?v=fwndxZg0DZg
Jane's Addiction;Summertime Rolls;https://www.youtube.com/watch?v=ki5KsuP3mzM
Britney Spears;Womanizer;https://www.youtube.com/watch?v=wqgy9hSqk0A
Paramore;Crush Crush Crush;https://www.youtube.com/watch?v=UsqSAkoSulQ
Dave Brubeck;Take Five;https://www.youtube.com/watch?v=vmDDOFXSgAs
Nick Drave;Riverman;https://www.youtube.com/watch?v=idcaRTg4-fM
Madonna;Ray Of Light;https://www.youtube.com/watch?v=kXCDxvnsOQg
The Sex Pistols;God Save The Queen;https://www.youtube.com/watch?v=NQbfTAWe3no
Franz Ferdinand;Bite Hard;https://www.youtube.com/watch?v=KIYy-8O7txk
Anna F.;DNA;https://www.youtube.com/watch?v=W_vR5u5QxZY
Moloko;Sing it Back;https://www.youtube.com/watch?v=gHvM47lVEvw
Elastica;Connection;https://www.youtube.com/watch?v=3ii4bEIPhJo
Genesis;Land of Confusion;https://www.youtube.com/watch?v=gOP6XN45OEk
Linkin Park;What I've Done;https://www.youtube.com/watch?v=Dj_d8DlZ-Jo
Rick Astley;Never Gonna Give You Up;https://www.youtube.com/watch?v=dQw4w9WgXcQ
Nirvana;Smells Like Teen Spirit;https://www.youtube.com/watch?v=zYxkezUr8MQ
Nightwish;Amaranth;https://www.youtube.com/watch?v=T-B0zZUOAdg
Muse;Uprising;https://www.youtube.com/watch?v=lbrWcvXceGU
Carly Rae Jepsen;I Really Like You;https://www.youtube.com/watch?v=WTKD7X0mFq8
Nine Inch Nails;Head Like A Hole;https://www.youtube.com/watch?v=zSB4ogrs4Rg
One Direction;Steal My Girl;https://www.youtube.com/watch?v=qz0Cut95iGA
Ed Sheeran;Don't;https://www.youtube.com/watch?v=epykm2jMgyo
Taylor Swift;Shake it Off;https://www.youtube.com/watch?v=nfWlot6h_JM
Ariana Grande;The Way;https://www.youtube.com/watch?v=98NkWGbPAbg
The Verve;Bittersweet Symphony;https://www.youtube.com/watch?v=PyP3g6oiQck
Jay-Z;Dirt off Your Shoulder;https://www.youtube.com/watch?v=Oz_-VaTHpc8
M83;Midnight City;https://www.youtube.com/watch?v=2v5d3WHVQFY
Kanye West;Good Life;https://www.youtube.com/watch?v=FEKEjpTzB0Q









